"Country","Region","Urban","Origin","Year1","Year2","Age","AgeInt","AgeDef","Vitality","ASFR","ASFR1","ASFR2","ASFR3","ASFR3P","ASFR4","ASFR4P","ASFR5P","CPFR","CPFR1","CPFR2","CPFR3","CPFR3P","CPFR4","CPFR4P","CPFR5P","Collection","SourceType","RefCode","Note","Split"
"    BGR","     .","    .","     .",2020,2020,19,1,"  ARDY","       1","0.05173","0.03251","0.01614","0.00290","0.00307","0.00017","0.00017","0.00000","0.11740","0.09390","0.02157","0.00188","0.00192","0.00004","0.00004","0.00000","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,20,1,"  ARDY","       1","0.05805","0.03426","0.01793","0.00476","0.00588","0.00094","0.00112","0.00018","0.16913","0.12641","0.03771","0.00478","0.00499","0.00021","0.00021","0.00000","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,21,1,"  ARDY","       1","0.06028","0.03471","0.01800","0.00571","0.00757","0.00148","0.00186","0.00038","0.22718","0.16067","0.05564","0.00954","0.01087","0.00115","0.00133","0.00018","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,22,1,"  ARDY","       1","0.06194","0.03529","0.01792","0.00634","0.00874","0.00196","0.00240","0.00044","0.28746","0.19538","0.07364","0.01525","0.01844","0.00263","0.00319","0.00056","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,23,1,"  ARDY","       1","0.06648","0.03824","0.01893","0.00653","0.00930","0.00206","0.00277","0.00071","0.34940","0.23067","0.09156","0.02159","0.02718","0.00459","0.00559","0.00100","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,24,1,"  ARDY","       1","0.07706","0.04595","0.02084","0.00670","0.01025","0.00247","0.00355","0.00108","0.41588","0.26891","0.11049","0.02812","0.03648","0.00665","0.00836","0.00171","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,25,1,"  ARDY","       1","0.08661","0.05260","0.02276","0.00724","0.01125","0.00253","0.00401","0.00148","0.49294","0.31486","0.13133","0.03482","0.04673","0.00912","0.01191","0.00279","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,26,1,"  ARDY","       1","0.08886","0.05334","0.02504","0.00612","0.01048","0.00234","0.00436","0.00202","0.57955","0.36746","0.15409","0.04206","0.05798","0.01165","0.01592","0.00427","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,27,1,"  ARDY","       1","0.09197","0.05426","0.02682","0.00594","0.01089","0.00265","0.00495","0.00230","0.66841","0.42080","0.17913","0.04818","0.06846","0.01399","0.02028","0.00629","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,28,1,"  ARDY","       1","0.09321","0.05360","0.02867","0.00632","0.01094","0.00249","0.00462","0.00213","0.76038","0.47506","0.20595","0.05412","0.07935","0.01664","0.02523","0.00859","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,29,1,"  ARDY","       1","0.08901","0.04826","0.03107","0.00561","0.00969","0.00194","0.00408","0.00214","0.85359","0.52866","0.23462","0.06044","0.09029","0.01913","0.02985","0.01072","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,30,1,"  ARDY","       1","0.08666","0.04380","0.03362","0.00520","0.00924","0.00186","0.00404","0.00218","0.94260","0.57692","0.26569","0.06605","0.09998","0.02107","0.03393","0.01286","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,31,1,"  ARDY","       1","0.08222","0.03872","0.03442","0.00535","0.00907","0.00177","0.00372","0.00195","1.02926","0.62072","0.29931","0.07125","0.10922","0.02293","0.03797","0.01504","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,32,1,"  ARDY","       1","0.07423","0.03180","0.03403","0.00524","0.00841","0.00139","0.00317","0.00178","1.11148","0.65944","0.33373","0.07660","0.11829","0.02470","0.04169","0.01699","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,33,1,"  ARDY","       1","0.06739","0.02632","0.03281","0.00514","0.00826","0.00117","0.00312","0.00195","1.18571","0.69124","0.36776","0.08184","0.12670","0.02609","0.04486","0.01877","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,34,1,"  ARDY","       1","0.06031","0.02232","0.02998","0.00522","0.00801","0.00111","0.00279","0.00168","1.25310","0.71756","0.40057","0.08698","0.13496","0.02726","0.04798","0.02072","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,35,1,"  ARDY","       1","0.05410","0.01844","0.02753","0.00564","0.00813","0.00106","0.00249","0.00143","1.31341","0.73988","0.43055","0.09220","0.14297","0.02837","0.05077","0.02240","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,36,1,"  ARDY","       1","0.04569","0.01468","0.02318","0.00545","0.00784","0.00105","0.00239","0.00134","1.36751","0.75832","0.45808","0.09784","0.15110","0.02943","0.05326","0.02383","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,37,1,"  ARDY","       1","0.03662","0.01176","0.01818","0.00441","0.00668","0.00101","0.00227","0.00126","1.41320","0.77300","0.48126","0.10329","0.15894","0.03048","0.05565","0.02517","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,38,1,"  ARDY","       1","0.02935","0.00876","0.01486","0.00353","0.00573","0.00085","0.00220","0.00135","1.44982","0.78476","0.49944","0.10770","0.16562","0.03149","0.05792","0.02643","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,39,1,"  ARDY","       1","0.02312","0.00695","0.01132","0.00307","0.00484","0.00065","0.00177","0.00112","1.47917","0.79352","0.51430","0.11123","0.17135","0.03234","0.06012","0.02778","       HFD","     vital","    BGR_03","   .",0
